1,22,45,63,649,Imie 1,Nazwisko 1,email1@example.com,100020236,8578.72
2,79,85,59,7010,Imie 2,Nazwisko 2,email2@example.com,100002757,13206.73
3,98,24,66,8734,Imie 3,Nazwisko 3,email3@example.com,100001022,20335.73
4,76,142,24,3302,Imie 4,Nazwisko 4,email4@example.com,100009821,9957.12
5,25,145,68,5947,Imie 5,Nazwisko 5,email5@example.com,100011820,13475.30
6,58,158,75,1919,Imie 6,Nazwisko 6,email6@example.com,100013732,3300.12
7,92,37,3,6648,Imie 7,Nazwisko 7,email7@example.com,100032146,22025.67
8,71,86,28,9431,Imie 8,Nazwisko 8,email8@example.com,100011884,8183.94
9,25,188,86,7138,Imie 9,Nazwisko 9,email9@example.com,100019249,9534.81
10,40,52,79,8398,Imie 10,Nazwisko 10,email10@example.com,100024996,24374.92
11,91,76,49,6801,Imie 11,Nazwisko 11,email11@example.com,100015306,24417.22
12,72,29,28,7128,Imie 12,Nazwisko 12,email12@example.com,100001199,6888.12
13,9,94,95,5209,Imie 13,Nazwisko 13,email13@example.com,100001755,6594.71
14,65,21,47,2616,Imie 14,Nazwisko 14,email14@example.com,100029956,4374.37
15,82,36,40,2878,Imie 15,Nazwisko 15,email15@example.com,100007642,6524.89
16,82,178,21,8670,Imie 16,Nazwisko 16,email16@example.com,100004614,22034.39
17,73,58,81,1374,Imie 17,Nazwisko 17,email17@example.com,100012208,4646.29
18,84,175,46,5278,Imie 18,Nazwisko 18,email18@example.com,100018725,12625.97
19,9,189,25,8728,Imie 19,Nazwisko 19,email19@example.com,100017528,4333.41
20,5,78,95,3379,Imie 20,Nazwisko 20,email20@example.com,100012341,14125.22
21,54,129,53,5906,Imie 21,Nazwisko 21,email21@example.com,100028025,4401.90
22,38,130,26,5715,Imie 22,Nazwisko 22,email22@example.com,100018958,23594.74
23,89,14,82,4267,Imie 23,Nazwisko 23,email23@example.com,100017760,18239.60
24,28,11,97,4548,Imie 24,Nazwisko 24,email24@example.com,100020836,21839.01
25,49,92,14,669,Imie 25,Nazwisko 25,email25@example.com,100015553,9616.72
26,82,113,88,7359,Imie 26,Nazwisko 26,email26@example.com,100009703,24391.03
27,82,102,45,8648,Imie 27,Nazwisko 27,email27@example.com,100028368,22248.57
28,5,94,77,3634,Imie 28,Nazwisko 28,email28@example.com,100014238,23408.76
29,67,44,29,7834,Imie 29,Nazwisko 29,email29@example.com,100031323,21159.55
30,16,14,24,3867,Imie 30,Nazwisko 30,email30@example.com,100003199,4028.60
31,15,61,12,2209,Imie 31,Nazwisko 31,email31@example.com,100006923,8921.81
32,98,82,23,467,Imie 32,Nazwisko 32,email32@example.com,100015443,9757.04
33,36,196,53,2293,Imie 33,Nazwisko 33,email33@example.com,100032475,22830.68
34,13,142,51,5114,Imie 34,Nazwisko 34,email34@example.com,100032457,22437.91
35,19,161,68,9985,Imie 35,Nazwisko 35,email35@example.com,100005079,4068.88
36,12,54,25,7777,Imie 36,Nazwisko 36,email36@example.com,100010200,5380.81
37,54,3,26,6883,Imie 37,Nazwisko 37,email37@example.com,100018969,24937.56
38,95,199,75,1948,Imie 38,Nazwisko 38,email38@example.com,100011865,7211.07
39,8,172,45,8004,Imie 39,Nazwisko 39,email39@example.com,100001537,7196.30
